Title,Author,
To Kill a Mockingbird,Harper Lee,
Outlander (Series),Diana Gabaldon,
Harry Potter (Series),J.K. Rowling,
Pride and Prejudice,Jane Austen,
The Lord of the Rings (Series),J.R.R. Tolkien,
Gone with the Wind,Margaret Mitchell,
Charlotte's Web,E. B. White,
Little Women,Louisa May Alcott,
The Chronicles of Narnia (Series),C.S. Lewis,
Anne of Green Gables,Lucy Maud Montgomery,
The Grapes of Wrath,John Steinbeck,
A Tree Grows in Brooklyn,Betty Smith,
The Book Thief,Markus Zusak,
The Great Gatsby,F. Scott Fitzgerald,
The Help,Kathryn Stockett,
The Adventures of Tom Sawyer,Mark Twain,
1984,George Orwell,
And Then There Were None,Agatha Christie,
Atlas Shrugged,Ayn Rand,
Lonesome Dove,Larry McMurtry,
The Pillars of the Earth,Ken Follett,
The Stand,Stephen King,
Rebecca,Daphne du Maurier,
A Prayer for Owen Meany,John Irving,
The Color Purple,Alice Walker,
Alice's Adventures in Wonderland,Lewis Carroll,
Great Expectations,Charles Dickens,
The Catcher in the Rye,J.D. Salinger,
Where the Red Fern Grows,Wilson Rawls,
The Outsiders,S. E. Hinton,
The Da Vinci Code,Dan Brown,
The Handmaid's Tale,Margaret Atwood,
Dune,Frank Herbert,
The Little Prince,Antoine de Saint-Exupéry,
The Call of the Wild,Jack London,
The Clan of the Cave Bear,Jean M. Auel,
The Hitchhiker's Guide to The Galaxy,Douglas Adams,
The Hunger Games (Series),Suzanne Collins,
The Count of Monte Cristo,Alexandre Dumas,
The Joy Luck Club,Amy Tan,
Frankenstein,Mary Shelley,
The Giver,Lois Lowry,
Memoirs of a Geisha,Arthur Golden,
Moby Dick,Herman Melville,
Catch-22,Joseph Heller,
Game of Thrones (Series),George R. R. Martin,
Foundation (Series),Isaac Asimov,
War and Peace,Leo Tolstoy,
Their Eyes Were Watching God,Zora Neale Hurston,
Jurassic Park,Michael Crichton,
The Godfather,Mario Puzo,
The Picture of Dorian Gray,Oscar Wilde,
The Notebook,Nicholas Sparks,
The Shack,William P. Young,
A Confederacy of Dunces,John Kennedy Toole,
The Hunt for Red October,Tom Clancy,
Beloved,Toni Morrison,
The Martian,Andy Weir,
The Wheel of Time (Series),Robert Jordan / Brandon Sanderson,
Siddhartha,Hermann Hesse,
Crime and Punishment,Fyodor Dostoyevsky,
The Sun Also Rises,Ernest Hemingway,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,
A Separate Peace,John Knowles,
Don Quixote,Miguel de Cervantes,
The Lovely Bones,Alice Sebold,
The Alchemist,Paulo Coelho,
Hatchet (Series),Gary Paulsen,
Invisible Man,Ralph Ellison,
The Twilight Saga (Series),Stephenie Meyer,
Tales of the City (Series),Armistead Maupin,
Gulliver's Travels,Jonathan Swift,
Ready Player One,Ernest Cline,
Left Behind (Series),Tim LaHaye / Jerry B. Jenkins,
Gone Girl,Gillian Flynn,
Watchers,Dean Koontz,
The Pilgrim's Progress,John Bunyan,
Alex Cross Mysteries (Series),James Patterson,
Things Fall Apart,Chinua Achebe,
Heart of Darkness,Joseph Conrad,
Gilead,Marilynne Robinson,
Flowers in the Attic,V.C. Andrews,
Fifty Shades of Grey (Series),E.L. James,
The Sirens of Titan,Kurt Vonnegut,
This Present Darkness,Frank E. Peretti,
Another Country,James Baldwin,
Looking for Alaska,John Green,
Swan Song,Robert R. McCammon,
Mind Invaders,Dave Hunt,
White Teeth,Zadie Smith,
Ghost,Jason Reynolds,
The Coldest Winter Ever,Sister Souljah,
The Intuitionist,Colson Whitehead,
Iliad,Homer,
Odyssey,Homer,
The Art of War,Sun Tzu,
Aeneid,Virgil,
Divine Comedy,Dante Alighieri,
Sense and Sensibility,Jane Austen,
Mansfield Park,Jane Austen,
The Three Musketeers,Alexandre Dumas,
The Raven,Edgar Allen Poe,
Oliver Twist,Charles Dickens,
A Tale of Two Cities,Charles Dickens,
A Christmas Carol,Charles Dickens,
Bleak House,Charles Dickens,
The Pickwick Papers,Charles Dickens,
Journey to the Center of the Earth,Jules Verne,
Around the World in 80 Days,Jules Verne,
Huckleberry Finn,Mark Twain,
The Importance of being Earnest,Oscar Wilde,
White Fang,Jack London,
Mrs Dalloway,Virginia Woolf,
Ulysses,James Joyce,
Finnegans Wake,James Joyce,
The Metamorphosis,Franz Kafka,
How to Win Friends and Influence People,Dale Carnegie,
The Mousetrap,Agatha Christie,
The Old Man and the Sea,Ernest Hemingway,
Animal Farm,George Orwell,
Green Eggs and Ham,Dr Seuss,
The Mytho of Sisyphus,Roald Dahl,
Charlie and the Chocolate Factory,Roald Dahl,
James and the Giant Peach,Roald Dahl,
Matilda,Roald Dahl,
The Fantastic Mr Fox,Roald Dahl,
"I, Robot",Isaac Asimov,
Bicentennial Man,Isaac Asimov,
Big Sur,Jack Kerouac,
I Know Why the Caged Bird Sings,Maya Angelou,
The Bell Jar,Sylvia Plath,
Fear and Loathing in Las Vegas,Hunter S Thompson,
The Shining,Stephen King,
Midnight's Children,Salman Rushdie,
A Song of Ice and Fire,George R R Martin,
Friendship Journal, Twilight Sparkle
